Index; Text; Cause; Effect; Offset_Sentence2; Offset_Sentence3; Cause_Start; Cause_End; Effect_Start; Effect_End; Sentence
0224.00007; Autohome has a consensus price target of $100.12, indicating a potential upside of 8.99%.; Autohome has a consensus price target of $100.12; a potential upside of 8.99%.; ; ;0.0;48.0;61.0;89.0; <e1>Autohome has a consensus price target of $100.12</e1>, indicating <e2>a potential upside of 8.99%.</e2>
0095.00087.1; Blockchain shipping solutions can reduce transit times and speed payments. We calculate that new logistics technologies could reduce shipping and customs processing times by 16 to 28 percent. By removing some of the frictions that slow the movement of goods today, these technologies together could potentially boost overall trade by 6 to 11 percent by 2030. 6 6.; Blockchain shipping solutions can reduce transit times and speed payments.; We calculate that new logistics technologies could reduce shipping and customs processing times by 16 to 28 percent.; 74; 191;0.0;74.0;75.0;191.0; <e1>Blockchain shipping solutions can reduce transit times and speed payments.</e1> <e2>We calculate that new logistics technologies could reduce shipping and customs processing times by 16 to 28 percent.</e2> By removing some of the frictions that slow the movement of goods today, these technologies together could potentially boost overall trade by 6 to 11 percent by 2030. 6 6.
0174.00127;It's been ongoing because there is some regulatory issues but Europe was a very small percentage of WAVE's profit. So it really shouldn't affect our number much more than $0.25 million to $0.5 million every quarter or something like that.;It's been ongoing because there is some regulatory issues but Europe was a very small percentage of WAVE's profit.;So it really shouldn't affect our number much more than $0.25 million to $0.5 million every quarter or something like that.;114.0;;0.0;114.0;115.0;238.0;<e1>It's been ongoing because there is some regulatory issues but Europe was a very small percentage of WAVE's profit.</e1> <e2>So it really shouldn't affect our number much more than $0.25 million to $0.5 million every quarter or something like that.</e2>
0096.00007; Similarly, the University House complex at 740 W. Chimes St., which last sold for $108.5 million in 2015, was assessed at $3.3 million in 2017, giving it an implied market value of some $33 million which, again, did not change in 2019.; Similarly, the University House complex at 740 W. Chimes St., which last sold for $108.5 million in 2015, was assessed at $3.3 million in 2017; it an implied market value of some $33 million which, again, did not change in 2019.; ; ;0.0;142.0;151.0;235.0; <e1>Similarly, the University House complex at 740 W. Chimes St., which last sold for $108.5 million in 2015, was assessed at $3.3 million in 2017</e1>, giving <e2>it an implied market value of some $33 million which, again, did not change in 2019.</e2>
0166.00014; Previous management sought to transform the company from a simple milk processor into a producer of value-added dairy products as it chased profits offshore. Among Fonterra's biggest missteps was the 2015 purchase of an 18.8 per cent stake in Chinese infant formula manufacturer Beingmate Baby & Child Food for $NZ755 million, just as the China market became hyper-competitive and demand slowed.; Previous management sought to transform the company from a simple milk processor into a producer of value-added dairy products as it chased profits offshore.; Among Fonterra's biggest missteps was the 2015 purchase of an 18.8 per cent stake in Chinese infant formula manufacturer Beingmate Baby & Child Food for $NZ755 million, just as the China market became hyper-competitive and demand slowed.; 157; ;0.0;157.0;158.0;395.0; <e1>Previous management sought to transform the company from a simple milk processor into a producer of value-added dairy products as it chased profits offshore.</e1> <e2>Among Fonterra's biggest missteps was the 2015 purchase of an 18.8 per cent stake in Chinese infant formula manufacturer Beingmate Baby & Child Food for $NZ755 million, just as the China market became hyper-competitive and demand slowed.</e2>
0160.00012; In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding as it attempts to prevent a collapse.; it attempts to prevent a collapse.; In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding; ; ;100.0;134.0;0.0;96.0; <e2>In company news, tour operator Thomas Cook confirmed it is seeking £200 million in extra funding</e2> as <e1>it attempts to prevent a collapse.</e1>
0359.00007; NYSE:AUY traded down $0.19 during trading hours on Wednesday, hitting $3.44. 17,144,700 shares of the company were exchanged, compared to its average volume of 14,045,282.; NYSE:AUY traded down $0.19 during trading hours on Wednesday; hitting $3.44.; ; ;0.0;60.0;62.0;76.0; <e1>NYSE:AUY traded down $0.19 during trading hours on Wednesday</e1>, <e2>hitting $3.44.</e2> 17,144,700 shares of the company were exchanged, compared to its average volume of 14,045,282.
0234.00001.1;Vident International Equity Fund (NASDAQ:VIDI) declared a  -  dividend on Tuesday, September 17th, Wall Street Journal reports. Stockholders of record on Wednesday, September 18th will be given a dividend of 0.0147 per share on Thursday, September 19th. This represents a dividend yield of 2.9%.;Vident International Equity Fund (NASDAQ:VIDI) declared a  -  dividend on Tuesday, September 17th, Wall Street Journal reports.;Stockholders of record on Wednesday, September 18th will be given a dividend of 0.0147 per share on Thursday, September 19th.;127.0;253.0;0.0;127.0;128.0;253.0;<e1>Vident International Equity Fund (NASDAQ:VIDI) declared a  -  dividend on Tuesday, September 17th, Wall Street Journal reports.</e1> <e2>Stockholders of record on Wednesday, September 18th will be given a dividend of 0.0147 per share on Thursday, September 19th.</e2> This represents a dividend yield of 2.9%.
0117.00001.2;Invesco S&P 500 Pure Growth ETF (RPG) To Go Ex-Dividend on September 23rd . Stockholders of record on Tuesday, September 24th will be given a dividend of 0.3507 per share on Monday, September 30th. This represents a dividend yield of 0.6%.;Invesco S&P 500 Pure Growth ETF (RPG) To Go Ex-Dividend on September 23rd .;This represents a dividend yield of 0.6%.;75.0;197.0;0.0;75.0;198.0;239.0;<e1>Invesco S&P 500 Pure Growth ETF (RPG) To Go Ex-Dividend on September 23rd .</e1> Stockholders of record on Tuesday, September 24th will be given a dividend of 0.3507 per share on Monday, September 30th. <e2>This represents a dividend yield of 0.6%.</e2>
0209.00015; Over the last ninety days, insiders bought 40,034 shares of company stock worth $574,415. 11.80% of the stock is currently owned by company insiders.; Over the last ninety days, insiders bought 40,034 shares of company stock worth $574,415.; 11.80% of the stock is currently owned by company insiders.; 89; ;0.0;89.0;90.0;149.0; <e1>Over the last ninety days, insiders bought 40,034 shares of company stock worth $574,415.</e1> <e2>11.80% of the stock is currently owned by company insiders.</e2>
